visibility,datetime,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.main,weather.description,city_name,rain.1h
10000.0,2025-06-12 11:02:47+08:00,28.83,34.07,28.41,29.03,1010.0,79.0,1010.0,1013.0,1.54,170.0,,100.0,2025-06-12 05:26:38+08:00,2025-06-12 18:25:32+08:00,Clouds,overcast clouds,Navotas,
10000.0,2025-06-12 11:03:02+08:00,28.46,33.65,28.32,28.94,1010.0,82.0,1010.0,1008.0,1.79,209.0,3.13,100.0,2025-06-12 05:26:43+08:00,2025-06-12 18:24:56+08:00,Clouds,overcast clouds,Paranaque City,
10000.0,2025-06-12 11:03:05+08:00,28.63,33.93,28.23,28.84,1009.0,81.0,1009.0,1007.0,1.54,170.0,,100.0,2025-06-12 05:26:20+08:00,2025-06-12 18:24:56+08:00,Clouds,overcast clouds,Pasig,
10000.0,2025-06-12 11:03:10+08:00,28.63,33.93,28.22,28.83,1009.0,81.0,1009.0,1007.0,1.54,170.0,,100.0,2025-06-12 05:26:22+08:00,2025-06-12 18:25:09+08:00,Clouds,overcast clouds,Quezon City,
10000.0,2025-06-12 11:03:24+08:00,29.94,36.94,29.94,29.94,1010.0,93.0,1010.0,992.0,5.45,183.0,8.49,100.0,2025-06-12 05:22:47+08:00,2025-06-12 18:33:20+08:00,Clouds,overcast clouds,San Juan,
10000.0,2025-06-12 11:00:27+08:00,29.01,34.99,28.95,29.04,1010.0,81.0,1010.0,1008.0,1.54,170.0,,100.0,2025-06-12 05:26:23+08:00,2025-06-12 18:24:46+08:00,Clouds,overcast clouds,Taguig,
4718.0,2025-06-12 11:04:09+08:00,28.8,34.4,28.38,28.99,1010.0,81.0,1010.0,1011.0,3.35,203.0,5.95,100.0,2025-06-12 05:26:31+08:00,2025-06-12 18:25:32+08:00,Clouds,overcast clouds,Valenzuela,
10000.0,2025-06-12 12:00:57+08:00,30.03,37.03,30.03,30.03,1009.0,79.0,1009.0,1012.0,1.54,0.0,,75.0,2025-06-12 05:26:36+08:00,2025-06-12 18:25:27+08:00,Clouds,broken clouds,Caloocan City,
10000.0,2025-06-12 12:01:12+08:00,29.98,36.98,29.98,29.98,1008.0,79.0,1008.0,1001.0,1.54,0.0,,75.0,2025-06-12 05:26:06+08:00,2025-06-12 18:24:53+08:00,Clouds,broken clouds,City of Marikina,
10000.0,2025-06-12 12:02:14+08:00,29.96,36.96,29.96,29.96,1009.0,79.0,1009.0,1006.0,1.54,0.0,,75.0,2025-06-12 05:26:55+08:00,2025-06-12 18:25:01+08:00,Clouds,broken clouds,Las Piñas,
10000.0,2025-06-12 12:02:27+08:00,29.9,36.9,29.9,29.9,1009.0,79.0,1009.0,1009.0,1.54,0.0,,75.0,2025-06-12 05:26:32+08:00,2025-06-12 18:25:00+08:00,Clouds,broken clouds,Makati City,
10000.0,2025-06-12 12:02:29+08:00,26.73,30.06,26.73,26.73,1009.0,91.0,1009.0,985.0,3.65,156.0,6.11,100.0,2025-06-12 05:28:53+08:00,2025-06-12 18:31:24+08:00,Clouds,overcast clouds,Malabon,
10000.0,2025-06-12 12:02:34+08:00,29.91,36.91,29.91,29.91,1009.0,79.0,1009.0,1009.0,1.54,0.0,,75.0,2025-06-12 05:26:26+08:00,2025-06-12 18:25:01+08:00,Clouds,broken clouds,Mandaluyong City,
10000.0,2025-06-12 12:00:02+08:00,30.0,37.0,30.0,30.0,1009.0,79.0,1009.0,1012.0,1.54,0.0,,75.0,2025-06-12 05:26:38+08:00,2025-06-12 18:25:18+08:00,Clouds,broken clouds,Manila,
10000.0,2025-06-12 12:02:48+08:00,30.03,37.03,30.03,30.03,1010.0,79.0,1010.0,1013.0,1.54,0.0,,75.0,2025-06-12 05:26:38+08:00,2025-06-12 18:25:32+08:00,Clouds,broken clouds,Navotas,
10000.0,2025-06-12 12:03:04+08:00,29.94,36.94,29.94,29.94,1009.0,79.0,1009.0,1007.0,1.54,0.0,,75.0,2025-06-12 05:26:43+08:00,2025-06-12 18:24:56+08:00,Clouds,broken clouds,Paranaque City,
10000.0,2025-06-12 12:03:06+08:00,29.84,36.84,29.84,29.84,1009.0,79.0,1009.0,1007.0,1.54,0.0,,75.0,2025-06-12 05:26:20+08:00,2025-06-12 18:24:56+08:00,Clouds,broken clouds,Pasig,
10000.0,2025-06-12 12:03:10+08:00,29.83,36.83,29.83,29.83,1009.0,79.0,1009.0,1007.0,1.54,0.0,,75.0,2025-06-12 05:26:22+08:00,2025-06-12 18:25:09+08:00,Clouds,broken clouds,Quezon City,
10000.0,2025-06-12 12:03:27+08:00,30.5,37.5,30.5,30.5,1009.0,92.0,1009.0,992.0,7.22,193.0,10.97,100.0,2025-06-12 05:22:47+08:00,2025-06-12 18:33:20+08:00,Clouds,overcast clouds,San Juan,
10000.0,2025-06-12 12:03:52+08:00,30.04,37.04,30.04,30.04,1009.0,79.0,1009.0,1008.0,1.54,0.0,,75.0,2025-06-12 05:26:23+08:00,2025-06-12 18:24:46+08:00,Clouds,broken clouds,Taguig,
6132.0,2025-06-12 12:04:13+08:00,29.99,36.99,29.99,29.99,1010.0,81.0,1010.0,1011.0,2.1,175.0,3.98,100.0,2025-06-12 05:26:31+08:00,2025-06-12 18:25:32+08:00,Clouds,overcast clouds,Valenzuela,
