visibility,datetime,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.main,weather.description,city_name,rain.1h
10000.0,2025-05-01 00:00:58+08:00,29.26,33.92,28.94,30.03,1011.0,73.0,1011.0,1014.0,4.12,120.0,,20.0,2025-05-01 05:33:30+08:00,2025-05-01 18:12:50+08:00,Clouds,few clouds,Caloocan City,
10000.0,2025-05-01 00:01:14+08:00,29.34,33.69,28.9,29.98,1011.0,71.0,1011.0,1003.0,4.12,120.0,,20.0,2025-05-01 05:32:59+08:00,2025-05-01 18:12:17+08:00,Clouds,few clouds,City of Marikina,
10000.0,2025-04-30 23:59:30+08:00,29.41,34.51,28.88,29.96,1011.0,74.0,1011.0,1007.0,5.81,103.0,5.81,20.0,2025-05-01 05:33:40+08:00,2025-05-01 18:12:32+08:00,Clouds,few clouds,Las Piñas,
10000.0,2025-05-01 00:00:04+08:00,29.52,34.33,28.82,29.9,1011.0,72.0,1011.0,1010.0,4.12,120.0,,20.0,2025-05-01 05:33:21+08:00,2025-05-01 18:12:27+08:00,Clouds,few clouds,Makati City,
10000.0,2025-05-01 00:02:35+08:00,28.29,32.5,28.29,28.29,1012.0,78.0,1012.0,987.0,1.6,80.0,1.59,82.0,2025-05-01 05:36:27+08:00,2025-05-01 18:18:06+08:00,Clouds,broken clouds,Malabon,
10000.0,2025-05-01 00:02:40+08:00,29.39,34.02,28.83,29.91,1011.0,72.0,1011.0,1010.0,4.12,120.0,,20.0,2025-05-01 05:33:17+08:00,2025-05-01 18:12:27+08:00,Clouds,few clouds,Mandaluyong City,
10000.0,2025-05-01 00:02:00+08:00,29.27,33.94,28.92,30.0,1011.0,73.0,1011.0,1014.0,4.12,120.0,,20.0,2025-05-01 05:33:29+08:00,2025-05-01 18:12:43+08:00,Clouds,few clouds,Manila,
10000.0,2025-05-01 00:02:57+08:00,29.16,33.88,28.94,30.03,1011.0,74.0,1011.0,1015.0,4.12,120.0,,20.0,2025-05-01 05:33:33+08:00,2025-05-01 18:12:55+08:00,Clouds,few clouds,Navotas,
10000.0,2025-05-01 00:03:13+08:00,29.44,34.58,28.85,29.94,1011.0,74.0,1011.0,1009.0,4.12,120.0,,20.0,2025-05-01 05:33:29+08:00,2025-05-01 18:12:26+08:00,Clouds,few clouds,Paranaque City,
10000.0,2025-05-01 00:03:15+08:00,29.32,33.85,28.76,29.84,1011.0,72.0,1011.0,1008.0,4.12,120.0,,20.0,2025-05-01 05:33:11+08:00,2025-05-01 18:12:22+08:00,Clouds,few clouds,Pasig,
10000.0,2025-04-30 23:59:06+08:00,29.16,33.48,28.75,29.83,1011.0,72.0,1011.0,1009.0,4.12,120.0,,20.0,2025-05-01 05:33:15+08:00,2025-05-01 18:12:33+08:00,Clouds,few clouds,Quezon City,
